,BHS,BIH,BLR,BLZ,TWN,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,ABW
2010-12-31,343000,3760000,9595000,312000,23068000,9930000,194946000,273000,399000,726000,2007000,4401000,34017000,7664000,17114000,1341335000,19738000,19599000,65965999,4043000,46295000,735000,496000,4659000,11258000,1104000,10493000,82302000,889000,5550000,9927000,35468000,14465000,81121000,5254000,46077000,1341000,82950000,5365000,861000,64935000,1505000,62036000,4352000,24392000,9982000,1728000,1515000,700000,11359000,14389000,754000,7053000,7601000,4403000,9993000,9984000,239871000,1224614000,4470000,73974000,31672000,320000,7418000,60551000,2741000,6187000,126536000,16026000,40513000,5334000,14138000,48184000,2737000,6201000,4228000,3994000,6355000,174000,20860000,2171000,3324000,507000,2252000,544000,31951000,3573000,20714000,316000,113423000,2061000,15370000,417000,47963000,631000,2756000,23391000,3460000,1299000,14901000,28401000,2283000,251000,15512000,158423000,5788000,16613000,4883000,29959000,4368000,2782000,173593000,3517000,29077000,93261000,6858000,38277000,3749000,10676000,6455000,4038999,271000,1759000,21486000,142958000,10624000,27448000,43552000,12434000,5086000,538000,5868000,6193000,9331000,9856000,165000,525000,5462000,2029999,9380000,1186000,20411000,11227000,6028000,69122000,6879000,5042000,1124000,104000,1341000,10481000,72752000,44841000,33424999,45448000,3369000,310384000,27445000,109000,28980000,87848000,240000,183000,24053000,50133000,13089000,12571000,31412000,19082000,3204000,7512000,40412000,3092000,22268000,8394000,9188000,8382999,10712000,8850000,16469000,148692000,7494000,1262000,107000
2011-01-31,343366,3759816,9592550,312500,23072800,9944283,195096800,273050,399533,727183,2008700,4408350,34041750,7666966,17127550,1341739666,19772200,19636300,66141082,4051983,46350783,736650,496433,4664833,11257866,1105133,10496016,82291250,890300,5551433,9938233,35514933,14483650,81244250,5267166,46098583,1340783,83120033,5366500,861583,64962649,1507283,62064116,4351016,24442983,10000000,1732150,1517733,701683,11359500,14419250,754316,7057533,7613933,4402483,10004150,9980933,240077650,1226133816,4474333,74054300,31754600,320366,7431333,60558816,2742283,6201500,126519666,16040483,40608500,5339316,14151783,48193333,2743866,6209000,4230933,4007933,6365050,174166,20875216,2172733,3323033,507633,2250916,544666,31980166,3570233,20765700,316400,113545850,2061549,15413666,417116,47987666,631183,2759700,23436133,3466983,1299600,14942766,28441083,2286200,251316,15563350,158790000,5794666,16616916,4886600,30011866,4371500,2786500,173892033,3521516,29103266,93408100,6870100,38276316,3748866,10676933,6464616,4047382,271266,1766950,21481283,142952416,10651583,27508150,43657533,12464383,5092366,539133,5880333,6196466,9350316,9854883,165216,525433,5462783,2030365,9385016,1187366,20444466,11255066,6038566,69156800,6886383,5047266,1126433,104066,1341450,10490350,72832350,44957650,33528582,45426383,3369833,310554083,27472166,109033,29019783,87929216,240466,183083,24119733,50168250,13124650,12576650,31490200,19131333,3204966,7544750,40442833,3092100,22294450,8395666,9196983,8403732,10715450,8872500,16513800,148851566,7490450,1267533,107166
2011-02-28,343733,3759633,9590100,313000,23077600,9958566,195247600,273100,400066,728366,2010400,4415700,34066500,7669933,17141100,1342144333,19806400,19673600,66316165,4060966,46406566,738300,496866,4670666,11257733,1106266,10499033,82280500,891600,5552866,9949466,35561866,14502300,81367500,5280333,46120166,1340566,83290066,5368000,862166,64990299,1509566,62092233,4350033,24493966,10018000,1736300,1520466,703366,11360000,14449500,754633,7062066,7626866,4401966,10015300,9977866,240284300,1227653633,4478666,74134600,31837200,320733,7444666,60566633,2743566,6216000,126503333,16054966,40704000,5344633,14165566,48202666,2750733,6217000,4233866,4021866,6375100,174333,20890433,2174466,3322066,508266,2249833,545333,32009333,3567466,20817400,316800,113668700,2062099,15457333,417233,48012333,631366,2763400,23481266,3473966,1300200,14984533,28481166,2289400,251633,15614700,159157000,5801333,16620833,4890200,30064733,4375000,2791000,174191066,3526033,29129533,93555200,6882200,38275633,3748733,10677866,6474233,4055765,271533,1774900,21476566,142946833,10679166,27568300,43763066,12494766,5098733,540266,5892666,6199933,9369633,9853766,165433,525866,5463566,2030732,9390033,1188733,20477933,11283133,6049133,69191600,6893766,5052533,1128866,104133,1341900,10499700,72912700,45074300,33632165,45404766,3370666,310724166,27499333,109066,29059566,88010433,240933,183166,24186466,50203500,13160300,12582300,31568400,19180666,3205933,7577500,40473666,3092200,22320900,8397333,9205966,8424465,10718900,8895000,16558600,149011133,7486900,1273066,107333
2011-03-31,344100,3759450,9587650,313500,23082400,9972850,195398400,273150,400600,729550,2012100,4423050,34091250,7672900,17154650,1342549000,19840600,19710900,66491249,4069950,46462350,739950,497300,4676500,11257600,1107400,10502050,82269750,892900,5554300,9960700,35608800,14520950,81490750,5293500,46141750,1340350,83460100,5369500,862750,65017949,1511850,62120350,4349050,24544950,10036000,1740450,1523200,705050,11360500,14479750,754950,7066600,7639800,4401450,10026450,9974800,240490950,1229173450,4483000,74214900,31919800,321100,7458000,60574450,2744850,6230500,126487000,16069450,40799500,5349950,14179350,48212000,2757600,6225000,4236800,4035800,6385150,174500,20905650,2176200,3321100,508900,2248750,546000,32038500,3564700,20869100,317200,113791550,2062649,15501000,417350,48037000,631550,2767100,23526400,3480950,1300800,15026300,28521250,2292600,251950,15666050,159524000,5808000,16624750,4893800,30117600,4378500,2795500,174490100,3530550,29155800,93702300,6894300,38274950,3748600,10678800,6483850,4064149,271800,1782850,21471850,142941250,10706750,27628450,43868600,12525150,5105100,541400,5905000,6203400,9388950,9852650,165650,526300,5464350,2031099,9395050,1190100,20511400,11311200,6059700,69226400,6901150,5057800,1131300,104200,1342350,10509050,72993050,45190950,33735749,45383150,3371500,310894250,27526500,109100,29099350,88091650,241400,183250,24253200,50238750,13195950,12587950,31646600,19230000,3206900,7610250,40504500,3092300,22347350,8399000,9214950,8445199,10722350,8917500,16603400,149170700,7483350,1278600,107500
2011-04-30,344466,3759266,9585200,314000,23087200,9987133,195549200,273200,401133,730733,2013800,4430400,34116000,7675866,17168200,1342953666,19874800,19748200,66666332,4078933,46518133,741600,497733,4682333,11257466,1108533,10505066,82259000,894200,5555733,9971933,35655733,14539600,81614000,5306666,46163333,1340133,83630133,5371000,863333,65045599,1514133,62148466,4348066,24595933,10054000,1744600,1525933,706733,11361000,14510000,755266,7071133,7652733,4400933,10037600,9971733,240697600,1230693266,4487333,74295200,32002400,321466,7471333,60582266,2746133,6245000,126470666,16083933,40895000,5355266,14193133,48221333,2764466,6233000,4239733,4049733,6395200,174666,20920866,2177933,3320133,509533,2247666,546666,32067666,3561933,20920800,317600,113914400,2063199,15544666,417466,48061666,631733,2770800,23571533,3487933,1301400,15068066,28561333,2295800,252266,15717400,159891000,5814666,16628666,4897400,30170466,4382000,2800000,174789133,3535066,29182066,93849400,6906400,38274266,3748466,10679733,6493466,4072532,272066,1790800,21467133,142935666,10734333,27688600,43974133,12555533,5111466,542533,5917333,6206866,9408266,9851533,165866,526733,5465133,2031465,9400066,1191466,20544866,11339266,6070266,69261200,6908533,5063066,1133733,104266,1342800,10518400,73073400,45307600,33839332,45361533,3372333,311064333,27553666,109133,29139133,88172866,241866,183333,24319933,50274000,13231600,12593600,31724800,19279333,3207866,7643000,40535333,3092400,22373800,8400666,9223933,8465932,10725800,8940000,16648200,149330266,7479800,1284133,107666
2011-05-31,344833,3759083,9582750,314500,23092000,10001416,195700000,273250,401666,731916,2015500,4437750,34140750,7678833,17181750,1343358333,19909000,19785500,66841415,4087916,46573916,743250,498166,4688166,11257333,1109666,10508083,82248250,895500,5557166,9983166,35702666,14558250,81737250,5319833,46184916,1339916,83800166,5372500,863916,65073249,1516416,62176583,4347083,24646916,10072000,1748750,1528666,708416,11361500,14540250,755583,7075666,7665666,4400416,10048750,9968666,240904250,1232213083,4491666,74375500,32085000,321833,7484666,60590083,2747416,6259500,126454333,16098416,40990500,5360583,14206916,48230666,2771333,6241000,4242666,4063666,6405250,174833,20936083,2179666,3319166,510166,2246583,547333,32096833,3559166,20972500,318000,114037250,2063749,15588333,417583,48086333,631916,2774500,23616666,3494916,1302000,15109833,28601416,2299000,252583,15768750,160258000,5821333,16632583,4901000,30223333,4385500,2804500,175088166,3539583,29208333,93996500,6918500,38273583,3748333,10680666,6503083,4080915,272333,1798750,21462416,142930083,10761916,27748750,44079666,12585916,5117833,543666,5929666,6210333,9427583,9850416,166083,527166,5465916,2031832,9405083,1192833,20578333,11367333,6080833,69296000,6915916,5068333,1136166,104333,1343250,10527750,73153750,45424250,33942915,45339916,3373166,311234416,27580833,109166,29178916,88254083,242333,183416,24386666,50309250,13267250,12599250,31803000,19328666,3208833,7675750,40566166,3092500,22400250,8402333,9232916,8486665,10729250,8962500,16693000,149489833,7476250,1289666,107833
2011-06-30,345200,3758900,9580300,315000,23096800,10015700,195850800,273300,402200,733100,2017200,4445100,34165500,7681800,17195300,1343763000,19943200,19822800,67016499,4096900,46629700,744900,498600,4694000,11257200,1110800,10511100,82237500,896800,5558600,9994400,35749600,14576900,81860500,5333000,46206500,1339700,83970200,5374000,864500,65100899,1518700,62204700,4346100,24697900,10090000,1752900,1531400,710100,11362000,14570500,755900,7080200,7678600,4399900,10059900,9965600,241110900,1233732900,4496000,74455800,32167600,322200,7498000,60597900,2748700,6274000,126438000,16112900,41086000,5365900,14220700,48240000,2778200,6249000,4245600,4077600,6415300,175000,20951300,2181400,3318200,510800,2245500,548000,32126000,3556400,21024200,318400,114160100,2064299,15632000,417700,48111000,632100,2778200,23661800,3501900,1302600,15151600,28641500,2302200,252900,15820100,160625000,5828000,16636500,4904600,30276200,4389000,2809000,175387200,3544100,29234600,94143600,6930600,38272900,3748200,10681600,6512700,4089299,272600,1806700,21457700,142924500,10789500,27808900,44185200,12616300,5124200,544800,5942000,6213800,9446900,9849300,166300,527600,5466700,2032199,9410100,1194200,20611800,11395400,6091400,69330800,6923300,5073600,1138600,104400,1343700,10537100,73234100,45540900,34046499,45318300,3374000,311404500,27608000,109200,29218700,88335300,242800,183500,24453400,50344500,13302900,12604900,31881200,19378000,3209800,7708500,40597000,3092600,22426700,8404000,9241900,8507399,10732700,8985000,16737800,149649400,7472700,1295200,108000
2011-07-31,345566,3758716,9577850,315500,23101600,10029983,196001600,273350,402733,734283,2018900,4452450,34190250,7684766,17208850,1344167666,19977400,19860100,67191582,4105883,46685483,746550,499033,4699833,11257066,1111933,10514116,82226750,898100,5560033,10005633,35796533,14595550,81983750,5346166,46228083,1339483,84140233,5375500,865083,65128549,1520983,62232816,4345116,24748883,10108000,1757050,1534133,711783,11362500,14600750,756216,7084733,7691533,4399383,10071050,9962533,241317550,1235252716,4500333,74536100,32250200,322566,7511333,60605716,2749983,6288500,126421666,16127383,41181500,5371216,14234483,48249333,2785066,6257000,4248533,4091533,6425350,175166,20966516,2183133,3317233,511433,2244416,548666,32155166,3553633,21075900,318800,114282950,2064849,15675666,417816,48135666,632283,2781900,23706933,3508883,1303200,15193366,28681583,2305400,253216,15871450,160992000,5834666,16640416,4908200,30329066,4392500,2813500,175686233,3548616,29260866,94290700,6942700,38272216,3748066,10682533,6522316,4097682,272866,1814650,21452983,142918916,10817083,27869050,44290733,12646683,5130566,545933,5954333,6217266,9466216,9848183,166516,528033,5467483,2032565,9415116,1195566,20645266,11423466,6101966,69365600,6930683,5078866,1141033,104466,1344150,10546450,73314450,45657550,34150082,45296683,3374833,311574583,27635166,109233,29258483,88416516,243266,183583,24520133,50379750,13338550,12610550,31959400,19427333,3210766,7741250,40627833,3092700,22453150,8405666,9250883,8528132,10736150,9007500,16782600,149808966,7469150,1300733,108166
2011-08-31,345933,3758533,9575400,316000,23106400,10044266,196152400,273400,403266,735466,2020600,4459800,34215000,7687733,17222400,1344572333,20011600,19897400,67366665,4114866,46741266,748200,499466,4705666,11256933,1113066,10517133,82216000,899400,5561466,10016866,35843466,14614200,82107000,5359333,46249666,1339266,84310266,5377000,865666,65156199,1523266,62260933,4344133,24799866,10126000,1761200,1536866,713466,11363000,14631000,756533,7089266,7704466,4398866,10082200,9959466,241524200,1236772533,4504666,74616400,32332800,322933,7524666,60613533,2751266,6303000,126405333,16141866,41277000,5376533,14248266,48258666,2791933,6265000,4251466,4105466,6435400,175333,20981733,2184866,3316266,512066,2243333,549333,32184333,3550866,21127600,319200,114405800,2065399,15719333,417933,48160333,632466,2785600,23752066,3515866,1303800,15235133,28721666,2308600,253533,15922800,161359000,5841333,16644333,4911800,30381933,4396000,2818000,175985266,3553133,29287133,94437800,6954800,38271533,3747933,10683466,6531933,4106065,273133,1822600,21448266,142913333,10844666,27929200,44396266,12677066,5136933,547066,5966666,6220733,9485533,9847066,166733,528466,5468266,2032932,9420133,1196933,20678733,11451533,6112533,69400400,6938066,5084133,1143466,104533,1344600,10555800,73394800,45774200,34253665,45275066,3375666,311744666,27662333,109266,29298266,88497733,243733,183666,24586866,50415000,13374200,12616200,32037600,19476666,3211733,7774000,40658666,3092800,22479600,8407333,9259866,8548865,10739600,9030000,16827400,149968533,7465600,1306266,108333
2011-09-30,346300,3758350,9572950,316500,23111200,10058550,196303200,273450,403800,736650,2022300,4467150,34239750,7690700,17235950,1344977000,20045800,19934700,67541749,4123850,46797050,749850,499900,4711500,11256800,1114200,10520150,82205250,900700,5562900,10028100,35890400,14632850,82230250,5372500,46271250,1339050,84480300,5378500,866250,65183849,1525550,62289050,4343150,24850850,10144000,1765350,1539600,715150,11363500,14661250,756850,7093800,7717400,4398350,10093350,9956400,241730850,1238292350,4509000,74696700,32415400,323300,7538000,60621350,2752550,6317500,126389000,16156350,41372500,5381850,14262050,48268000,2798800,6273000,4254400,4119400,6445450,175500,20996950,2186600,3315300,512700,2242250,550000,32213500,3548100,21179300,319600,114528650,2065949,15763000,418050,48185000,632650,2789300,23797200,3522850,1304400,15276900,28761750,2311800,253850,15974150,161726000,5848000,16648250,4915400,30434800,4399500,2822500,176284300,3557650,29313400,94584900,6966900,38270850,3747800,10684400,6541550,4114449,273400,1830550,21443550,142907750,10872250,27989350,44501800,12707450,5143300,548200,5979000,6224200,9504850,9845950,166950,528900,5469050,2033299,9425150,1198300,20712200,11479600,6123100,69435200,6945450,5089400,1145900,104600,1345050,10565150,73475150,45890850,34357249,45253450,3376500,311914750,27689500,109300,29338050,88578950,244200,183750,24653600,50450250,13409850,12621850,32115800,19526000,3212700,7806750,40689500,3092900,22506050,8409000,9268850,8569599,10743050,9052500,16872200,150128100,7462050,1311800,108500
