,BHS,BIH,BLR,BLZ,TWN,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,ABW
2010-12-31,343000,3760000,9595000,312000,23027000,9930000,194946000,273000,399000,726000,2007000,4401000,34017000,7664000,17114000,1341335000,19738000,19599000,65965999,4043000,46295000,735000,496000,4659000,11258000,1104000,10493000,82302000,889000,5550000,9927000,35468000,14465000,81121000,5254000,46077000,1341000,82950000,5365000,861000,64935000,1505000,62036000,4352000,24392000,9982000,1728000,1515000,700000,11359000,14389000,754000,7053000,7601000,4403000,9993000,9984000,239871000,1224614000,4470000,73974000,31672000,320000,7418000,60551000,2741000,6187000,126536000,16026000,40513000,5334000,14138000,48184000,2737000,6201000,4228000,3994000,6355000,174000,20860000,2171000,3324000,507000,2252000,544000,31951000,3573000,20714000,316000,113423000,2061000,15370000,417000,47963000,631000,2756000,23391000,3460000,1299000,14901000,28401000,2283000,251000,15512000,158423000,5788000,16613000,4883000,29959000,4368000,2782000,173593000,3517000,29077000,93261000,6858000,38277000,3749000,10676000,6455000,4038999,271000,1759000,21486000,142958000,10624000,27448000,43552000,12434000,5086000,538000,5868000,6193000,9331000,9856000,165000,525000,5462000,2029999,9380000,1186000,20411000,11227000,6028000,69122000,6879000,5042000,1124000,104000,1341000,10481000,72752000,44841000,33424999,45448000,3369000,310384000,27445000,109000,28980000,87848000,240000,183000,24053000,50133000,13089000,12571000,31412000,19082000,3204000,7512000,40412000,3092000,22268000,8394000,9188000,8382999,10712000,8850000,16469000,148692000,7494000,1262000,107000
2011-01-31,343350,3759716,9592116,312400,23033916,9940416,195068483,273050,399500,727100,2008800,4407116,34048400,7668066,17125583,1341654366,19762633,19629416,66112599,4050866,46341533,736216,496266,4664216,11256616,1105183,10497716,82301600,890200,5552316,9935716,35507716,14479600,81228550,5266500,46106816,1340916,83096883,5367283,861383,64970350,1506950,62073133,4350250,24434350,9994933,1731433,1517150,701483,11360866,14411583,754083,7057983,7610866,4402450,10001550,9982116,240048250,1225836316,4475050,74041516,31739383,320416,7432983,60568200,2741550,6200833,126532733,16038533,40591216,5337933,14148516,48197083,2744133,6207400,4230433,4007300,6363950,174133,20872283,2172383,3322800,507783,2250850,544716,31971499,3569633,20757716,316350,113520816,2061483,15405350,417133,47979350,631150,2759100,23428316,3466233,1299516,14937433,28436883,2285850,251316,15555350,158739533,5792400,16618800,4887616,30001250,4372100,2786266,173836400,3520933,29095466,93383500,6868733,38279850,3748100,10678366,6462916,4045582,271233,1768016,21479916,142948033,10647250,27505783,43634150,12457166,5093200,538966,5878833,6194300,9344933,9854566,165150,525350,5463400,2030632,9386883,1187133,20439166,11251150,6037433,69152750,6883983,5046250,1125850,104016,1341250,10489066,72816766,44937133,33509149,45425416,3369333,310597883,27465650,109000,29013100,87917783,240400,183000,24112150,50170716,13116183,12573016,31477666,19126900,3204450,7548716,40436233,3091616,22299616,8396900,9195933,8402815,10717183,8869866,16505366,148818800,7490200,1268083,107183
2011-02-28,343700,3759433,9589233,312800,23040833,9950833,195190966,273100,400000,728200,2010600,4413233,34079800,7672133,17137166,1341973733,19787266,19659833,66259199,4058733,46388066,737433,496533,4669433,11255233,1106366,10502433,82301200,891400,5554633,9944433,35547433,14494200,81336100,5279000,46136633,1340833,83243766,5369566,861766,65005700,1508900,62110266,4348500,24476700,10007866,1734866,1519300,702966,11362733,14434166,754166,7062966,7620733,4401900,10010100,9980233,240225500,1227058633,4480100,74109033,31806766,320833,7447966,60585400,2742100,6214666,126529466,16051066,40669433,5341866,14159033,48210166,2751266,6213800,4232866,4020600,6372900,174266,20884566,2173766,3321600,508566,2249700,545433,31991999,3566266,20801433,316700,113618633,2061966,15440700,417266,47995700,631300,2762200,23465633,3472466,1300033,14973866,28472766,2288700,251633,15598700,159056066,5796800,16624600,4892233,30043500,4376200,2790533,174079800,3524866,29113933,93506000,6879466,38282700,3747200,10680733,6470833,4052165,271466,1777033,21473833,142938066,10670500,27563566,43716300,12480333,5100400,539933,5889666,6195600,9358866,9853133,165300,525700,5464800,2031265,9393766,1188266,20467333,11275300,6046866,69183500,6888966,5050500,1127700,104033,1341500,10497133,72881533,45033266,33593299,45402833,3369666,310811766,27486300,109000,29046200,87987566,240800,183000,24171300,50208433,13143366,12575033,31543333,19171800,3204900,7585433,40460466,3091233,22331233,8399800,9203866,8422632,10722366,8889733,16541733,148945600,7486400,1274166,107366
2011-03-31,344050,3759150,9586350,313200,23047750,9961250,195313450,273150,400500,729300,2012400,4419350,34111200,7676200,17148750,1342293100,19811900,19690250,66405799,4066600,46434600,738650,496800,4674650,11253850,1107550,10507150,82300800,892600,5556950,9953150,35587150,14508800,81443650,5291500,46166450,1340750,83390650,5371850,862150,65041050,1510850,62147399,4346750,24519050,10020800,1738300,1521450,704450,11364600,14456750,754250,7067950,7630600,4401350,10018650,9978350,240402750,1228280950,4485150,74176550,31874150,321250,7462950,60602600,2742650,6228500,126526200,16063600,40747650,5345800,14169550,48223250,2758400,6220200,4235300,4033900,6381850,174400,20896850,2175150,3320400,509350,2248550,546150,32012499,3562900,20845150,317050,113716450,2062449,15476050,417400,48012050,631450,2765300,23502950,3478700,1300550,15010300,28508650,2291550,251950,15642050,159372600,5801200,16630400,4896850,30085750,4380300,2794800,174323200,3528800,29132400,93628500,6890200,38285550,3746300,10683100,6478750,4058749,271700,1786050,21467750,142928100,10693750,27621350,43798450,12503500,5107600,540900,5900500,6196900,9372800,9851700,165450,526050,5466200,2031899,9400650,1189400,20495500,11299450,6056300,69214250,6893950,5054750,1129550,104050,1341750,10505200,72946300,45129400,33677449,45380250,3370000,311025650,27506950,109000,29079300,88057350,241200,183000,24230450,50246150,13170550,12577050,31609000,19216700,3205350,7622150,40484700,3090850,22362850,8402700,9211800,8442449,10727550,8909600,16578100,149072400,7482600,1280250,107550
2011-04-30,344400,3758866,9583466,313600,23054666,9971666,195435933,273200,401000,730400,2014200,4425466,34142600,7680266,17160333,1342612466,19836533,19720666,66552399,4074466,46481133,739866,497066,4679866,11252466,1108733,10511866,82300400,893800,5559266,9961866,35626866,14523400,81551200,5304000,46196266,1340666,83537533,5374133,862533,65076400,1512800,62184533,4345000,24561400,10033733,1741733,1523600,705933,11366466,14479333,754333,7072933,7640466,4400800,10027200,9976466,240580000,1229503266,4490200,74244066,31941533,321666,7477933,60619800,2743200,6242333,126522933,16076133,40825866,5349733,14180066,48236333,2765533,6226600,4237733,4047200,6390800,174533,20909133,2176533,3319200,510133,2247400,546866,32032999,3559533,20888866,317400,113814266,2062933,15511400,417533,48028400,631600,2768400,23540266,3484933,1301066,15046733,28544533,2294400,252266,15685400,159689133,5805600,16636200,4901466,30128000,4384400,2799066,174566600,3532733,29150866,93751000,6900933,38288400,3745400,10685466,6486666,4065332,271933,1795066,21461666,142918133,10717000,27679133,43880600,12526666,5114800,541866,5911333,6198200,9386733,9850266,165600,526400,5467600,2032532,9407533,1190533,20523666,11323600,6065733,69245000,6898933,5059000,1131400,104066,1342000,10513266,73011066,45225533,33761599,45357666,3370333,311239533,27527600,109000,29112400,88127133,241600,183000,24289600,50283866,13197733,12579066,31674666,19261600,3205800,7658866,40508933,3090466,22394466,8405600,9219733,8462265,10732733,8929466,16614466,149199200,7478800,1286333,107733
2011-05-31,344750,3758583,9580583,314000,23061583,9982083,195558416,273250,401500,731500,2016000,4431583,34174000,7684333,17171916,1342931833,19861166,19751083,66698999,4082333,46527666,741083,497333,4685083,11251083,1109916,10516583,82300000,895000,5561583,9970583,35666583,14538000,81658750,5316500,46226083,1340583,83684416,5376416,862916,65111750,1514750,62221666,4343250,24603750,10046666,1745166,1525750,707416,11368333,14501916,754416,7077916,7650333,4400250,10035750,9974583,240757250,1230725583,4495250,74311583,32008916,322083,7492916,60637000,2743750,6256166,126519666,16088666,40904083,5353666,14190583,48249416,2772666,6233000,4240166,4060500,6399750,174666,20921416,2177916,3318000,510916,2246250,547583,32053499,3556166,20932583,317750,113912083,2063416,15546750,417666,48044750,631750,2771500,23577583,3491166,1301583,15083166,28580416,2297250,252583,15728750,160005666,5810000,16642000,4906083,30170250,4388500,2803333,174810000,3536666,29169333,93873500,6911666,38291250,3744500,10687833,6494583,4071915,272166,1804083,21455583,142908166,10740250,27736916,43962750,12549833,5122000,542833,5922166,6199500,9400666,9848833,165750,526750,5469000,2033165,9414416,1191666,20551833,11347750,6075166,69275750,6903916,5063250,1133250,104083,1342250,10521333,73075833,45321666,33845749,45335083,3370666,311453416,27548250,109000,29145500,88196916,242000,183000,24348750,50321583,13224916,12581083,31740333,19306500,3206250,7695583,40533166,3090083,22426083,8408500,9227666,8482082,10737916,8949333,16650833,149326000,7475000,1292416,107916
2011-06-30,345100,3758300,9577700,314400,23068500,9992500,195680900,273300,402000,732600,2017800,4437700,34205400,7688400,17183500,1343251200,19885800,19781500,66845599,4090200,46574200,742300,497600,4690300,11249700,1111100,10521300,82299600,896200,5563900,9979300,35706300,14552600,81766300,5329000,46255900,1340500,83831300,5378700,863300,65147100,1516700,62258799,4341500,24646100,10059600,1748600,1527900,708900,11370200,14524500,754500,7082900,7660200,4399700,10044300,9972700,240934500,1231947900,4500300,74379100,32076300,322500,7507900,60654200,2744300,6270000,126516400,16101200,40982300,5357600,14201100,48262500,2779800,6239400,4242600,4073800,6408700,174800,20933700,2179300,3316800,511700,2245100,548300,32073999,3552800,20976300,318100,114009900,2063899,15582100,417800,48061100,631900,2774600,23614900,3497400,1302100,15119600,28616300,2300100,252900,15772100,160322200,5814400,16647800,4910700,30212500,4392600,2807600,175053400,3540600,29187800,93996000,6922400,38294100,3743600,10690200,6502500,4078499,272400,1813100,21449500,142898200,10763500,27794700,44044900,12573000,5129200,543800,5933000,6200800,9414600,9847400,165900,527100,5470400,2033799,9421300,1192800,20580000,11371900,6084600,69306500,6908900,5067500,1135100,104100,1342500,10529400,73140600,45417800,33929899,45312500,3371000,311667300,27568900,109000,29178600,88266700,242400,183000,24407900,50359300,13252100,12583100,31806000,19351400,3206700,7732300,40557400,3089700,22457700,8411400,9235600,8501899,10743100,8969200,16687200,149452800,7471200,1298500,108100
2011-07-31,345450,3758016,9574816,314800,23075416,10002916,195803383,273350,402500,733700,2019600,4443816,34236800,7692466,17195083,1343570566,19910433,19811916,66992199,4098066,46620733,743516,497866,4695516,11248316,1112283,10526016,82299200,897400,5566216,9988016,35746016,14567200,81873850,5341500,46285716,1340416,83978183,5380983,863683,65182450,1518650,62295933,4339750,24688450,10072533,1752033,1530050,710383,11372066,14547083,754583,7087883,7670066,4399150,10052850,9970816,241111750,1233170216,4505350,74446616,32143683,322916,7522883,60671400,2744850,6283833,126513133,16113733,41060516,5361533,14211616,48275583,2786933,6245800,4245033,4087100,6417650,174933,20945983,2180683,3315600,512483,2243950,549016,32094499,3549433,21020016,318450,114107716,2064383,15617450,417933,48077450,632050,2777700,23652216,3503633,1302616,15156033,28652183,2302950,253216,15815450,160638733,5818800,16653600,4915316,30254750,4396700,2811866,175296800,3544533,29206266,94118500,6933133,38296950,3742700,10692566,6510416,4085082,272633,1822116,21443416,142888233,10786750,27852483,44127050,12596166,5136400,544766,5943833,6202100,9428533,9845966,166050,527450,5471800,2034432,9428183,1193933,20608166,11396050,6094033,69337250,6913883,5071750,1136950,104116,1342750,10537466,73205366,45513933,34014049,45289916,3371333,311881183,27589550,109000,29211700,88336483,242800,183000,24467050,50397016,13279283,12585116,31871666,19396300,3207150,7769016,40581633,3089316,22489316,8414300,9243533,8521715,10748283,8989066,16723566,149579600,7467400,1304583,108283
2011-08-31,345800,3757733,9571933,315200,23082333,10013333,195925866,273400,403000,734800,2021400,4449933,34268200,7696533,17206666,1343889933,19935066,19842333,67138799,4105933,46667266,744733,498133,4700733,11246933,1113466,10530733,82298800,898600,5568533,9996733,35785733,14581800,81981400,5354000,46315533,1340333,84125066,5383266,864066,65217800,1520600,62333066,4338000,24730800,10085466,1755466,1532200,711866,11373933,14569666,754666,7092866,7679933,4398600,10061400,9968933,241289000,1234392533,4510400,74514133,32211066,323333,7537866,60688600,2745400,6297666,126509866,16126266,41138733,5365466,14222133,48288666,2794066,6252200,4247466,4100400,6426600,175066,20958266,2182066,3314400,513266,2242800,549733,32114999,3546066,21063733,318800,114205533,2064866,15652800,418066,48093800,632200,2780800,23689533,3509866,1303133,15192466,28688066,2305800,253533,15858800,160955266,5823200,16659400,4919933,30297000,4400800,2816133,175540200,3548466,29224733,94241000,6943866,38299800,3741800,10694933,6518333,4091665,272866,1831133,21437333,142878266,10810000,27910266,44209200,12619333,5143600,545733,5954666,6203400,9442466,9844533,166200,527800,5473200,2035065,9435066,1195066,20636333,11420200,6103466,69368000,6918866,5076000,1138800,104133,1343000,10545533,73270133,45610066,34098199,45267333,3371666,312095066,27610200,109000,29244800,88406266,243200,183000,24526200,50434733,13306466,12587133,31937333,19441200,3207600,7805733,40605866,3088933,22520933,8417200,9251466,8541532,10753466,9008933,16759933,149706400,7463600,1310666,108466
2011-09-30,346150,3757450,9569050,315600,23089250,10023750,196048350,273450,403500,735900,2023200,4456050,34299600,7700600,17218250,1344209300,19959700,19872750,67285399,4113800,46713800,745950,498400,4705950,11245550,1114650,10535450,82298400,899800,5570850,10005450,35825450,14596400,82088950,5366500,46345350,1340250,84271950,5385550,864450,65253150,1522550,62370199,4336250,24773150,10098400,1758900,1534350,713350,11375800,14592250,754750,7097850,7689800,4398050,10069950,9967050,241466250,1235614850,4515450,74581650,32278450,323750,7552850,60705800,2745950,6311500,126506600,16138800,41216950,5369400,14232650,48301750,2801200,6258600,4249900,4113700,6435550,175200,20970550,2183450,3313200,514050,2241650,550450,32135499,3542700,21107450,319150,114303350,2065349,15688150,418200,48110150,632350,2783900,23726850,3516100,1303650,15228900,28723950,2308650,253850,15902150,161271800,5827600,16665200,4924550,30339250,4404900,2820400,175783600,3552400,29243200,94363500,6954600,38302650,3740900,10697300,6526250,4098249,273100,1840150,21431250,142868300,10833250,27968050,44291350,12642500,5150800,546700,5965500,6204700,9456400,9843100,166350,528150,5474600,2035699,9441950,1196200,20664500,11444350,6112900,69398750,6923850,5080250,1140650,104150,1343250,10553600,73334900,45706200,34182349,45244750,3372000,312308950,27630850,109000,29277900,88476050,243600,183000,24585350,50472450,13333650,12589150,32003000,19486100,3208050,7842450,40630100,3088550,22552550,8420100,9259400,8561349,10758650,9028800,16796300,149833200,7459800,1316750,108650
