,BHS,BIH,BLR,BLZ,TWN,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,ABW
2010-12-31,343000,3760000,9595000,312000,22975000,9930000,194946000,273000,399000,726000,2007000,4401000,34017000,7664000,17114000,1341335000,19738000,19599000,65965999,4043000,46295000,735000,496000,4659000,11258000,1104000,10493000,82302000,889000,5550000,9927000,35468000,14465000,81121000,5254000,46077000,1341000,82950000,5365000,861000,64935000,1505000,62036000,4352000,24392000,9982000,1728000,1515000,700000,11359000,14389000,754000,7053000,7601000,4403000,9993000,9984000,239871000,1224614000,4470000,73974000,31672000,320000,7418000,60551000,2741000,6187000,126536000,16026000,40513000,5334000,14138000,48184000,2737000,6201000,4228000,3994000,6355000,174000,20860000,2171000,3324000,507000,2252000,544000,31951000,3573000,20714000,316000,113423000,2061000,15370000,417000,47963000,631000,2756000,23391000,3460000,1299000,14901000,28401000,2283000,251000,15512000,158423000,5788000,16613000,4883000,29959000,4368000,2782000,173593000,3517000,29077000,93261000,6858000,38277000,3749000,10676000,6455000,4038999,271000,1759000,21486000,142958000,10624000,27448000,43552000,12434000,5086000,538000,5868000,6193000,9331000,9856000,165000,525000,5462000,2029999,9380000,1186000,20411000,11227000,6028000,69122000,6879000,5042000,1124000,104000,1341000,10481000,72752000,44841000,33424999,45448000,3369000,310384000,27445000,109000,28980000,87848000,240000,183000,24053000,50133000,13089000,12571000,31412000,19082000,3204000,7512000,40412000,3092000,22268000,8394000,9188000,8382999,10712000,8850000,16469000,148692000,7494000,1262000,107000
2011-01-31,343366,3759700,9592000,312400,22984916,9939866,195067000,273050,399500,727150,2008866,4407133,34053533,7668850,17125683,1341652033,19761450,19629350,66112465,4051033,46341166,736183,496200,4664433,11256083,1105300,10498833,82306483,890200,5552833,9935283,35507250,14479216,81227366,5266683,46112900,1340983,83095816,5367750,861300,64975433,1506966,62079266,4349816,24434133,9993900,1731383,1517116,701550,11361550,14410883,753983,7058650,7610499,4402516,10000750,9982716,240045533,1225831516,4475616,74040866,31738850,320466,7434516,60574016,2741266,6201483,126538083,16038516,40590450,5337500,14147566,48198833,2744833,6207150,4230400,4008133,6363883,174133,20871533,2172316,3322700,507900,2250833,544800,31969366,3569183,20757700,316350,113515400,2061516,15404966,417150,47977866,631150,2759050,23428233,3466266,1299516,14937350,28437150,2285850,251333,15555216,158738466,5791766,16619900,4888350,30000900,4372600,2786400,173831600,3520966,29093233,93381333,6868733,38281700,3747683,10679233,6462783,4045232,271233,1769283,21479633,142951716,10647250,27509050,43634933,12456683,5094200,538966,5879033,6193416,9343900,9854616,165133,525333,5463750,2030815,9388116,1187116,20438966,11250883,6037416,69154316,6882966,5046066,1125666,104000,1341183,10489000,72816583,44936066,33508632,45425566,3369183,310630716,27463933,108983,29013216,87916416,240400,182966,24111616,50172883,13115883,12570750,31476283,19127166,3204283,7553733,40435633,3091383,22304033,8397666,9196083,8403849,10718266,8870016,16504900,148812450,7490133,1268850,107200
2011-02-28,343733,3759400,9589000,312800,22994833,9949733,195188000,273100,400000,728300,2010733,4413266,34090066,7673700,17137366,1341969066,19784900,19659700,66258932,4059066,46387333,737366,496400,4669866,11254166,1106600,10504666,82310966,891400,5555666,9943566,35546500,14493433,81333733,5279366,46148800,1340966,83241633,5370500,861600,65015866,1508933,62122533,4347633,24476266,10005800,1734766,1519233,703100,11364100,14432766,753966,7064300,7619999,4402033,10008500,9981433,240220066,1227049033,4481233,74107733,31805700,320933,7451033,60597033,2741533,6215966,126540166,16051033,40667900,5341000,14157133,48213666,2752666,6213300,4232800,4022266,6372766,174266,20883066,2173633,3321400,508800,2249666,545600,31987733,3565366,20801400,316700,113607800,2062033,15439933,417300,47992733,631300,2762100,23465466,3472533,1300033,14973700,28473300,2288700,251666,15598433,159053933,5795533,16626800,4893700,30042800,4377200,2790800,174070200,3524933,29109466,93501666,6879466,38286400,3746366,10682466,6470566,4051465,271466,1779566,21473266,142945433,10670500,27570100,43717866,12479366,5102400,539933,5890066,6193833,9356800,9853233,165266,525666,5465500,2031632,9396233,1188233,20466933,11274766,6046833,69186633,6886933,5050133,1127333,104000,1341366,10497000,72881166,45031133,33592265,45403133,3369366,310877433,27482866,108966,29046433,87984833,240800,182933,24170233,50212766,13142766,12570500,31540566,19172333,3204566,7595466,40459266,3090766,22340066,8401333,9204166,8424699,10724533,8890033,16540800,148932900,7486266,1275700,107400
2011-03-31,344100,3759100,9586000,313200,23004750,9959600,195309000,273150,400500,729450,2012600,4419400,34126600,7678550,17149050,1342286100,19808350,19690050,66405399,4067100,46433500,738550,496600,4675300,11252250,1107900,10510500,82315450,892600,5558500,9951850,35585750,14507650,81440100,5292050,46184700,1340950,83387450,5373250,861900,65056300,1510900,62165800,4345450,24518400,10017700,1738150,1521350,704650,11366650,14454650,753950,7069950,7629499,4401550,10016250,9980150,240394600,1228266550,4486850,74174600,31872550,321400,7467550,60620050,2741800,6230450,126542250,16063550,40745350,5344500,14166700,48228500,2760500,6219450,4235200,4036400,6381650,174400,20894600,2174950,3320100,509700,2248500,546400,32006099,3561550,20845100,317050,113700200,2062550,15474900,417450,48007600,631450,2765150,23502700,3478800,1300550,15010050,28509450,2291550,252000,15641650,159369400,5799300,16633700,4899050,30084700,4381800,2795200,174308800,3528900,29125700,93622000,6890200,38291100,3745050,10685700,6478350,4057699,271700,1789850,21466900,142939150,10693750,27631150,43800800,12502050,5110600,540900,5901100,6194250,9369700,9851850,165400,526000,5467250,2032449,9404350,1189350,20494900,11298650,6056250,69218950,6890900,5054200,1129000,104000,1341550,10505000,72945750,45126200,33675899,45380700,3369550,311124150,27501800,108950,29079650,88053250,241200,182900,24228850,50252650,13169650,12570250,31604850,19217500,3204850,7637200,40482900,3090150,22376100,8405000,9212250,8445549,10730800,8910050,16576700,149053350,7482400,1282550,107600
2011-04-30,344466,3758800,9583000,313600,23014666,9969466,195430000,273200,401000,730600,2014466,4425533,34163133,7683400,17160733,1342603133,19831800,19720400,66551865,4075133,46479666,739733,496800,4680733,11250333,1109200,10516333,82319933,893800,5561333,9960133,35625000,14521866,81546466,5304733,46220600,1340933,83533266,5376000,862200,65096733,1512866,62209066,4343266,24560533,10029600,1741533,1523466,706200,11369200,14476533,753933,7075600,7638999,4401066,10024000,9978866,240569133,1229484066,4492466,74241466,31939400,321866,7484066,60643066,2742066,6244933,126544333,16076066,40822800,5348000,14176266,48243333,2768333,6225600,4237600,4050533,6390533,174533,20906133,2176266,3318800,510600,2247333,547200,32024466,3557733,20888800,317400,113792600,2063066,15509866,417600,48022466,631600,2768200,23539933,3485066,1301066,15046400,28545600,2294400,252333,15684866,159684866,5803066,16640600,4904400,30126600,4386400,2799600,174547400,3532866,29141933,93742333,6900933,38295800,3743733,10688933,6486133,4063932,271933,1800133,21460533,142932866,10717000,27692200,43883733,12524733,5118800,541866,5912133,6194666,9382600,9850466,165533,526333,5469000,2033265,9412466,1190466,20522866,11322533,6065666,69251266,6894866,5058266,1130666,104000,1341733,10513000,73010333,45221266,33759532,45358266,3369733,311370866,27520733,108933,29112866,88121666,241600,182866,24287466,50292533,13196533,12570000,31669133,19262666,3205133,7678933,40506533,3089533,22412133,8408666,9220333,8466399,10737066,8930066,16612600,149173800,7478533,1289400,107800
2011-05-31,344833,3758500,9580000,314000,23024583,9979333,195551000,273250,401500,731750,2016333,4431666,34199666,7688250,17172416,1342920166,19855250,19750750,66698332,4083166,46525833,740916,497000,4686166,11248416,1110500,10522166,82324416,895000,5564166,9968416,35664250,14536083,81652833,5317416,46256500,1340916,83679083,5378750,862500,65137166,1514833,62252333,4341083,24602666,10041500,1744916,1525583,707750,11371750,14498416,753916,7081250,7648499,4400583,10031750,9977583,240743666,1230701583,4498083,74308333,32006250,322333,7500583,60666083,2742333,6259416,126546416,16088583,40900250,5351500,14185833,48258166,2776166,6231750,4240000,4064666,6399416,174666,20917666,2177583,3317500,511500,2246166,548000,32042833,3553916,20932500,317750,113885000,2063583,15544833,417750,48037333,631750,2771250,23577166,3491333,1301583,15082750,28581750,2297250,252666,15728083,160000333,5806833,16647500,4909750,30168500,4391000,2804000,174786000,3536833,29158166,93862666,6911666,38300500,3742416,10692166,6493916,4070165,272166,1810416,21454166,142926583,10740250,27753250,43966666,12547416,5127000,542833,5923166,6195083,9395500,9849083,165666,526666,5470750,2034082,9420583,1191583,20550833,11346416,6075083,69283583,6898833,5062333,1132333,104000,1341916,10521000,73074916,45316333,33843165,45335833,3369916,311617583,27539666,108916,29146083,88190083,242000,182833,24346083,50332416,13223416,12569750,31733416,19307833,3205416,7720666,40530166,3088916,22448166,8412333,9228416,8487249,10743333,8950083,16648500,149294250,7474666,1296250,108000
2011-06-30,345200,3758200,9577000,314400,23034500,9989200,195672000,273300,402000,732900,2018200,4437800,34236200,7693100,17184100,1343237200,19878700,19781100,66844799,4091200,46572000,742100,497200,4691600,11246500,1111800,10528000,82328900,896200,5567000,9976700,35703500,14550300,81759200,5330100,46292400,1340900,83824900,5381500,862800,65177600,1516800,62295600,4338900,24644800,10053400,1748300,1527700,709300,11374300,14520300,753900,7086900,7657999,4400100,10039500,9976300,240918200,1231919100,4503700,74375200,32073100,322800,7517100,60689100,2742600,6273900,126548500,16101100,40977700,5355000,14195400,48273000,2784000,6237900,4242400,4078800,6408300,174800,20929200,2178900,3316200,512400,2245000,548800,32061199,3550100,20976200,318100,113977400,2064100,15579800,417900,48052200,631900,2774300,23614400,3497600,1302100,15119100,28617900,2300100,253000,15771300,160315800,5810600,16654400,4915100,30210400,4395600,2808400,175024600,3540800,29174400,93983000,6922400,38305200,3741100,10695400,6501700,4076399,272400,1820700,21447800,142920300,10763500,27814300,44049600,12570100,5135200,543800,5934200,6195500,9408400,9847700,165800,527000,5472500,2034899,9428700,1192700,20578800,11370300,6084500,69315900,6902800,5066400,1134000,104000,1342100,10529000,73139500,45411400,33926799,45313400,3370100,311864300,27558600,108900,29179300,88258500,242400,182800,24404700,50372300,13250300,12569500,31797700,19353000,3205700,7762400,40553800,3088300,22484200,8416000,9236500,8508099,10749600,8970100,16684400,149414700,7470800,1303100,108200
2011-07-31,345566,3757900,9574000,314800,23044416,9999066,195793000,273350,402500,734050,2020066,4443933,34272733,7697950,17195783,1343554233,19902150,19811450,66991265,4099233,46618166,743283,497400,4697033,11244583,1113100,10533833,82333383,897400,5569833,9984983,35742750,14564516,81865566,5342783,46328300,1340883,83970716,5384250,863100,65218033,1518766,62338866,4336716,24686933,10065300,1751683,1529816,710850,11376850,14542183,753883,7092550,7667499,4399616,10047250,9975016,241092733,1233136616,4509316,74442066,32139950,323266,7533616,60712116,2742866,6288383,126550583,16113616,41055150,5358500,14204966,48287833,2791833,6244050,4244800,4092933,6417183,174933,20940733,2180216,3314900,513300,2243833,549600,32079566,3546283,21019900,318450,114069800,2064616,15614766,418050,48067066,632050,2777350,23651633,3503866,1302616,15155450,28654050,2302950,253333,15814516,160631266,5814366,16661300,4920450,30252300,4400200,2812800,175263200,3544766,29190633,94103333,6933133,38309900,3739783,10698633,6509483,4082632,272633,1830983,21441433,142914016,10786750,27875350,44132533,12592783,5143400,544766,5945233,6195916,9421300,9846316,165933,527333,5474250,2035715,9436816,1193816,20606766,11394183,6093916,69348216,6906766,5070466,1135666,104000,1342283,10537000,73204083,45506466,34010432,45290966,3370283,312111016,27577533,108883,29212516,88326916,242800,182766,24463316,50412183,13277183,12569250,31861983,19398166,3205983,7804133,40577433,3087683,22520233,8419666,9244583,8528949,10755866,8990116,16720300,149535150,7466933,1309950,108400
2011-08-31,345933,3757600,9571000,315200,23054333,10008933,195914000,273400,403000,735200,2021933,4450066,34309266,7702800,17207466,1343871266,19925600,19841800,67137732,4107266,46664333,744466,497600,4702466,11242666,1114400,10539666,82337866,898600,5572666,9993266,35782000,14578733,81971933,5355466,46364200,1340866,84116533,5387000,863400,65258466,1520733,62382133,4334533,24729066,10077200,1755066,1531933,712400,11379400,14564066,753866,7098200,7676999,4399133,10055000,9973733,241267266,1234354133,4514933,74508933,32206800,323733,7550133,60735133,2743133,6302866,126552666,16126133,41132600,5362000,14214533,48302666,2799666,6250200,4247200,4107066,6426066,175066,20952266,2181533,3313600,514200,2242666,550400,32097933,3542466,21063600,318800,114162200,2065133,15649733,418200,48081933,632200,2780400,23688866,3510133,1303133,15191800,28690200,2305800,253666,15857733,160946733,5818133,16668200,4925800,30294200,4404800,2817200,175501800,3548733,29206866,94223666,6943866,38314600,3738466,10701866,6517266,4088865,272866,1841266,21435066,142907733,10810000,27936400,44215466,12615466,5151600,545733,5956266,6196333,9434200,9844933,166066,527666,5476000,2036532,9444933,1194933,20634733,11418066,6103333,69380533,6910733,5074533,1137333,104000,1342466,10545000,73268666,45601533,34094065,45268533,3370466,312357733,27596466,108866,29245733,88395333,243200,182733,24521933,50452066,13304066,12569000,31926266,19443333,3206266,7845866,40601066,3087066,22556266,8423333,9252666,8549799,10762133,9010133,16756200,149655600,7463066,1316800,108600
2011-09-30,346300,3757300,9568000,315600,23064250,10018800,196035000,273450,403500,736350,2023800,4456200,34345800,7707650,17219150,1344188300,19949050,19872150,67284199,4115300,46710500,745650,497800,4707900,11240750,1115700,10545500,82342350,899800,5575500,10001550,35821250,14592950,82078300,5368150,46400100,1340850,84262350,5389750,863700,65298900,1522700,62425400,4332350,24771200,10089100,1758450,1534050,713950,11381950,14585950,753850,7103850,7686499,4398650,10062750,9972450,241441800,1235571650,4520550,74575800,32273650,324200,7566650,60758150,2743400,6317350,126554750,16138650,41210050,5365500,14224100,48317500,2807500,6256350,4249600,4121200,6434950,175200,20963800,2182850,3312300,515100,2241500,551200,32116299,3538650,21107300,319150,114254600,2065650,15684700,418350,48096800,632350,2783450,23726100,3516400,1303650,15228150,28726350,2308650,254000,15900950,161262200,5821900,16675100,4931150,30336100,4409400,2821600,175740400,3552700,29223100,94344000,6954600,38319300,3737150,10705100,6525050,4095099,273100,1851550,21428700,142901450,10833250,27997450,44298400,12638150,5159800,546700,5967300,6196750,9447100,9843550,166200,528000,5477750,2037349,9453050,1196050,20662700,11441950,6112750,69412850,6914700,5078600,1139000,104000,1342650,10553000,73333250,45696600,34177699,45246100,3370650,312604450,27615400,108850,29278950,88463750,243600,182700,24580550,50491950,13330950,12568750,31990550,19488500,3206550,7887600,40624700,3086450,22592300,8427000,9260750,8570649,10768400,9030150,16792100,149776050,7459200,1323650,108800
