,BHS,BIH,BLR,BLZ,TWN,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,ABW
2010-12-31,343000,3760000,9595000,312000,23037000,9930000,194946000,273000,399000,726000,2007000,4401000,34017000,7664000,17114000,1341335000,19738000,19599000,65965999,4043000,46295000,735000,496000,4659000,11258000,1104000,10493000,82302000,889000,5550000,9927000,35468000,14465000,81121000,5254000,46077000,1341000,82950000,5365000,861000,64935000,1505000,62036000,4352000,24392000,9982000,1728000,1515000,700000,11359000,14389000,754000,7053000,7601000,4403000,9993000,9984000,239871000,1224614000,4470000,73974000,31672000,320000,7418000,60551000,2741000,6187000,126536000,16026000,40513000,5334000,14138000,48184000,2737000,6201000,4228000,3994000,6355000,174000,20860000,2171000,3324000,507000,2252000,544000,31951000,3573000,20714000,316000,113423000,2061000,15370000,417000,47963000,631000,2756000,23391000,3460000,1299000,14901000,28401000,2283000,251000,15512000,158423000,5788000,16613000,4883000,29959000,4368000,2782000,173593000,3517000,29077000,93261000,6858000,38277000,3749000,10676000,6455000,4038999,271000,1759000,21486000,142958000,10624000,27448000,43552000,12434000,5086000,538000,5868000,6193000,9331000,9856000,165000,525000,5462000,2029999,9380000,1186000,20411000,11227000,6028000,69122000,6879000,5042000,1124000,104000,1341000,10481000,72752000,44841000,33424999,45448000,3369000,310384000,27445000,109000,28980000,87848000,240000,183000,24053000,50133000,13089000,12571000,31412000,19082000,3204000,7512000,40412000,3092000,22268000,8394000,9188000,8382999,10712000,8850000,16469000,148692000,7494000,1262000,107000
2011-01-31,343350,3759633,9591833,312500,23043316,9943683,195073500,273033,399500,727100,2008650,4408366,34046166,7667650,17125900,1341640333,19771116,19636366,66140815,4052166,46343400,736616,496283,4664500,11256650,1105166,10497016,82296366,890300,5551883,9936116,35508616,14480816,81228716,5267383,46104116,1340850,83119600,5366866,861383,64966200,1507300,62068783,4350166,24442883,9998983,1732100,1517700,701750,11360133,14418650,754116,7057850,7613649,4402333,10003450,9981500,240043866,1225925550,4474700,74043400,31753933,320400,7432333,60564533,2741583,6202100,126524850,16038266,40606416,5337933,14148350,48194483,2744183,6208766,4230433,4008800,6363916,174133,20872016,2172683,3322716,507750,2250783,544700,31973433,3569566,20765933,316350,113523600,2061450,15413316,417116,47980033,631150,2759166,23436116,3467050,1299500,14942650,28436950,2286200,251316,15563216,158789250,5792966,16617750,4887233,30011766,4371833,2786250,173887350,3521050,29096816,93406200,6870166,38277833,3748116,10677750,6464500,4046832,271233,1768016,21479683,142946533,10651616,27511450,43658833,12463950,5093116,539150,5880550,6194450,9349283,9854400,165200,525366,5463066,2030515,9386100,1187333,20444266,11254766,6038550,69152366,6885316,5046250,1126250,104050,1341266,10489016,72823050,44957016,33528299,45424216,3369366,310579183,27465750,109000,29015283,87917366,240483,183050,24119833,50168183,13124466,12574283,31488833,19131883,3204466,7548900,40437200,3091583,22298200,8396383,9195866,8404815,10716333,8872733,16513400,148820350,7490016,1268133,107183
2011-02-28,343700,3759266,9588666,313000,23049633,9957366,195201000,273066,400000,728200,2010300,4415733,34075333,7671300,17137800,1341945666,19804233,19673733,66315632,4061333,46391800,738233,496566,4670000,11255300,1106333,10501033,82290733,891600,5553766,9945233,35549233,14496633,81336433,5280766,46131233,1340700,83289200,5368733,861766,64997400,1509600,62101566,4348333,24493766,10015966,1736200,1520400,703500,11361266,14448300,754233,7062700,7626299,4401666,10013900,9979000,240216733,1227237100,4479400,74112800,31835866,320800,7446666,60578066,2742166,6217200,126513700,16050533,40699833,5341866,14158700,48204966,2751366,6216533,4232866,4023600,6372833,174266,20884033,2174366,3321433,508500,2249566,545400,31995866,3566133,20817866,316700,113624200,2061900,15456633,417233,47997066,631300,2762333,23481233,3474100,1300000,14984300,28472900,2289400,251633,15614433,159155500,5797933,16622500,4891466,30064533,4375666,2790500,174181700,3525100,29116633,93551400,6882333,38278666,3747233,10679500,6474000,4054665,271466,1777033,21473366,142935066,10679233,27574900,43765666,12493900,5100233,540300,5893100,6195900,9367566,9852800,165400,525733,5464133,2031032,9392200,1188666,20477533,11282533,6049100,69182733,6891633,5050500,1128500,104100,1341533,10497033,72894100,45073033,33631599,45400433,3369733,310774366,27486500,109000,29050566,87986733,240966,183100,24186666,50203366,13159933,12577566,31565666,19181766,3204933,7585800,40462400,3091166,22328400,8398766,9203733,8426632,10720666,8895466,16557800,148948700,7486033,1274266,107366
2011-03-31,344050,3758900,9585500,313500,23055950,9971050,195328500,273100,400500,729300,2011950,4423100,34104500,7674950,17149700,1342251000,19837350,19711100,66490449,4070500,46440200,739850,496850,4675500,11253950,1107500,10505050,82285100,892900,5555650,9954350,35589850,14512450,81444150,5294150,46158350,1340550,83458800,5370600,862150,65028600,1511900,62134350,4346500,24544650,10032950,1740300,1523100,705250,11362400,14477950,754350,7067550,7638949,4401000,10024350,9976500,240389600,1228548650,4484100,74182200,31917800,321200,7461000,60591600,2742750,6232300,126502550,16062800,40793250,5345800,14169050,48215450,2758550,6224300,4235300,4038400,6381750,174400,20896050,2176050,3320150,509250,2248350,546100,32018299,3562700,20869800,317050,113724800,2062350,15499950,417350,48014100,631450,2765500,23526350,3481150,1300500,15025950,28508850,2292600,251950,15665650,159521750,5802900,16627250,4895700,30117300,4379500,2794750,174476050,3529150,29136450,93696600,6894500,38279500,3746350,10681250,6483500,4062499,271700,1786050,21467050,142923600,10706850,27638350,43872500,12523850,5107350,541450,5905650,6197350,9385850,9851200,165600,526100,5465200,2031549,9398300,1190000,20510800,11310300,6059650,69213100,6897950,5054750,1130750,104150,1341800,10505050,72965150,45189050,33734899,45376650,3370100,310969550,27507250,109000,29085850,88056100,241450,183150,24253500,50238550,13195400,12580850,31642500,19231650,3205400,7622700,40487600,3090750,22358600,8401150,9211600,8448449,10725000,8918200,16602200,149077050,7482050,1280400,107550
2011-04-30,344400,3758533,9582333,314000,23062266,9984733,195456000,273133,401000,730400,2013600,4430466,34133666,7678600,17161600,1342556333,19870466,19748466,66665265,4079666,46488600,741466,497133,4681000,11252600,1108666,10509066,82279466,894200,5557533,9963466,35630466,14528266,81551866,5307533,46185466,1340400,83628400,5372466,862533,65059800,1514200,62167133,4344666,24595533,10049933,1744400,1525800,707000,11363533,14507600,754466,7072400,7651599,4400333,10034800,9974000,240562466,1229860200,4488800,74251600,31999733,321600,7475333,60605133,2743333,6247400,126491400,16075066,40886666,5349733,14179400,48225933,2765733,6232066,4237733,4053200,6390666,174533,20908066,2177733,3318866,510000,2247133,546800,32040733,3559266,20921733,317400,113825400,2062800,15543266,417466,48031133,631600,2768666,23571466,3488200,1301000,15067600,28544800,2295800,252266,15716866,159888000,5807866,16632000,4899933,30170066,4383333,2799000,174770400,3533200,29156266,93841800,6906666,38280333,3745466,10683000,6493000,4070332,271933,1795066,21460733,142912133,10734466,27701800,43979333,12553800,5114466,542600,5918200,6198800,9404133,9849600,165800,526466,5466266,2032065,9404400,1191333,20544066,11338066,6070200,69243466,6904266,5059000,1133000,104200,1342066,10513066,73036200,45305066,33838199,45352866,3370466,311164733,27528000,109000,29121133,88125466,241933,183200,24320333,50273733,13230866,12584133,31719333,19281533,3205866,7659600,40512800,3090333,22388800,8403533,9219466,8470265,10729333,8940933,16646600,149205400,7478066,1286533,107733
2011-05-31,344750,3758166,9579166,314500,23068583,9998416,195583500,273166,401500,731500,2015250,4437833,34162833,7682250,17173500,1342861666,19903583,19785833,66840082,4088833,46537000,743083,497416,4686500,11251250,1109833,10513083,82273833,895500,5559416,9972583,35671083,14544083,81659583,5320916,46212583,1340250,83798000,5374333,862916,65091000,1516500,62199916,4342833,24646416,10066916,1748500,1528500,708750,11364666,14537250,754583,7077250,7664249,4399666,10045250,9971500,240735333,1231171750,4493500,74321000,32081666,322000,7489666,60618666,2743916,6262500,126480250,16087333,40980083,5353666,14189750,48236416,2772916,6239833,4240166,4068000,6399583,174666,20920083,2179416,3317583,510750,2245916,547500,32063166,3555833,20973666,317750,113926000,2063250,15586583,417583,48048166,631750,2771833,23616583,3495250,1301500,15109250,28580750,2299000,252583,15768083,160254250,5812833,16636750,4904166,30222833,4387166,2803250,175064750,3537250,29176083,93987000,6918833,38281166,3744583,10684750,6502500,4078165,272166,1804083,21454416,142900666,10762083,27765250,44086166,12583750,5121583,543750,5930750,6200250,9422416,9848000,166000,526833,5467333,2032582,9410500,1192666,20577333,11365833,6080750,69273833,6910583,5063250,1135250,104250,1342333,10521083,73107250,45421083,33941499,45329083,3370833,311359916,27548750,109000,29156416,88194833,242416,183250,24387166,50308916,13266333,12587416,31796166,19331416,3206333,7696500,40538000,3089916,22419000,8405916,9227333,8492082,10733666,8963666,16691000,149333750,7474083,1292666,107916
2011-06-30,345100,3757800,9576000,315000,23074900,10012100,195711000,273200,402000,732600,2016900,4445200,34192000,7685900,17185400,1343167000,19936700,19823200,67014899,4098000,46585400,744700,497700,4692000,11249900,1111000,10517100,82268200,896800,5561300,9981700,35711700,14559900,81767300,5334300,46239700,1340100,83967600,5376200,863300,65122200,1518800,62232700,4341000,24697300,10083900,1752600,1531200,710500,11365800,14566900,754700,7082100,7676899,4399000,10055700,9969000,240908200,1232483300,4498200,74390400,32163600,322400,7504000,60632200,2744500,6277600,126469100,16099600,41073500,5357600,14200100,48246900,2780100,6247600,4242600,4082800,6408500,174800,20932100,2181100,3316300,511500,2244700,548200,32085599,3552400,21025600,318100,114026600,2063700,15629900,417700,48065200,631900,2775000,23661700,3502300,1302000,15150900,28616700,2302200,252900,15819300,160620500,5817800,16641500,4908400,30275600,4391000,2807500,175359100,3541300,29195900,94132200,6931000,38282000,3743700,10686500,6512000,4085999,272400,1813100,21448100,142889200,10789700,27828700,44193000,12613700,5128700,544900,5943300,6201700,9440700,9846400,166200,527200,5468400,2033099,9416600,1194000,20610600,11393600,6091300,69304200,6916900,5067500,1137500,104300,1342600,10529100,73178300,45537100,34044799,45305300,3371200,311555100,27569500,109000,29191700,88264200,242900,183300,24454000,50344100,13301800,12590700,31873000,19381300,3206800,7733400,40563200,3089500,22449200,8408300,9235200,8513899,10738000,8986400,16735400,149462100,7470100,1298800,108100
2011-07-31,345450,3757433,9572833,315500,23081216,10025783,195838500,273233,402500,733700,2018550,4452566,34221166,7689550,17197300,1343472333,19969816,19860566,67189715,4107166,46633800,746316,497983,4697500,11248550,1112166,10521116,82262566,898100,5563183,9990816,35752316,14575716,81875016,5347683,46266816,1339950,84137200,5378066,863683,65153400,1521100,62265483,4339166,24748183,10100883,1756700,1533900,712250,11366933,14596550,754816,7086950,7689549,4398333,10066150,9966500,241081066,1233794850,4502900,74459800,32245533,322800,7518333,60645733,2745083,6292700,126457950,16111866,41166916,5361533,14210450,48257383,2787283,6255366,4245033,4097600,6417416,174933,20944116,2182783,3315016,512250,2243483,548900,32108033,3548966,21077533,318450,114127200,2064150,15673216,417816,48082233,632050,2778166,23706816,3509350,1302500,15192550,28652650,2305400,253216,15870516,160986750,5822766,16646250,4912633,30328366,4394833,2811750,175653450,3545350,29215716,94277400,6943166,38282833,3742816,10688250,6521500,4093832,272633,1822116,21441783,142877733,10817316,27892150,44299833,12643650,5135816,546050,5955850,6203150,9458983,9844800,166400,527566,5469466,2033615,9422700,1195333,20643866,11421366,6101850,69334566,6923216,5071750,1139750,104350,1342866,10537116,73249350,45653116,34148099,45281516,3371566,311750283,27590250,109000,29226983,88333566,243383,183350,24520833,50379283,13337266,12593983,31949833,19431183,3207266,7770300,40588400,3089083,22479400,8410683,9243066,8535715,10742333,9009133,16779800,149590450,7466116,1304933,108283
2011-08-31,345800,3757066,9569666,316000,23087533,10039466,195966000,273266,403000,734800,2020200,4459933,34250333,7693200,17209200,1343777666,20002933,19897933,67364532,4116333,46682200,747933,498266,4703000,11247200,1113333,10525133,82256933,899400,5565066,9999933,35792933,14591533,81982733,5361066,46293933,1339800,84306800,5379933,864066,65184600,1523400,62298266,4337333,24799066,10117866,1760800,1536600,714000,11368066,14626200,754933,7091800,7702199,4397666,10076600,9964000,241253933,1235106400,4507600,74529200,32327466,323200,7532666,60659266,2745666,6307800,126446800,16124133,41260333,5365466,14220800,48267866,2794466,6263133,4247466,4112400,6426333,175066,20956133,2184466,3313733,513000,2242266,549600,32130466,3545533,21129466,318800,114227800,2064600,15716533,417933,48099266,632200,2781333,23751933,3516400,1303000,15234200,28688600,2308600,253533,15921733,161353000,5827733,16651000,4916866,30381133,4398666,2816000,175947800,3549400,29235533,94422600,6955333,38283666,3741933,10690000,6531000,4101665,272866,1831133,21435466,142866266,10844933,27955600,44406666,12673600,5142933,547200,5968400,6204600,9477266,9843200,166600,527933,5470533,2034132,9428800,1196666,20677133,11449133,6112400,69364933,6929533,5076000,1142000,104400,1343133,10545133,73320400,45769133,34251399,45257733,3371933,311945466,27611000,109000,29262266,88402933,243866,183400,24587666,50414466,13372733,12597266,32026666,19481066,3207733,7807200,40613600,3088666,22509600,8413066,9250933,8557532,10746666,9031866,16824200,149718800,7462133,1311066,108466
2011-09-30,346150,3756700,9566500,316500,23093850,10053150,196093500,273300,403500,735900,2021850,4467300,34279500,7696850,17221100,1344083000,20036050,19935300,67539349,4125500,46730600,749550,498550,4708500,11245850,1114500,10529150,82251300,900700,5566950,10009050,35833550,14607350,82090450,5374450,46321050,1339650,84476400,5381800,864450,65215800,1525700,62331050,4335500,24849950,10134850,1764900,1539300,715750,11369200,14655850,755050,7096650,7714849,4397000,10087050,9961500,241426800,1236417950,4512300,74598600,32409400,323600,7547000,60672800,2746250,6322900,126435650,16136400,41353750,5369400,14231150,48278350,2801650,6270900,4249900,4127200,6435250,175200,20968150,2186150,3312450,513750,2241050,550300,32152899,3542100,21181400,319150,114328400,2065050,15759850,418050,48116300,632350,2784500,23797050,3523450,1303500,15275850,28724550,2311800,253850,15972950,161719250,5832700,16655750,4921100,30433900,4402500,2820250,176242150,3553450,29255350,94567800,6967500,38284500,3741050,10691750,6540500,4109499,273100,1840150,21429150,142854800,10872550,28019050,44513500,12703550,5150050,548350,5980950,6206050,9495550,9841600,166800,528300,5471600,2034649,9434900,1198000,20710400,11476900,6122950,69395300,6935850,5080250,1144250,104450,1343400,10553150,73391450,45885150,34354699,45233950,3372300,312140650,27631750,109000,29297550,88472300,244350,183450,24654500,50449650,13408200,12600550,32103500,19530950,3208200,7844100,40638800,3088250,22539800,8415450,9258800,8579349,10751000,9054600,16868600,149847150,7458150,1317200,108650
